title,type,src
可以色色,trap,https://i.imgur.com/yz5dje5.jpg
強制色色,magic,https://i.imgur.com/lvF1Vhuh.jpg
防色色陷阱,trap,https://i.imgur.com/Yej9H7x.jpg
色色武士,monster,https://i.imgur.com/t8SX9H3h.jpg
我要色色,magic,https://i.imgur.com/KWdZ2uh.jpeg
犬神之宣告,trap,https://i.imgur.com/mwVhuayh.jpg
結紮手術,magic,https://i.imgur.com/qxWF0Ehh.jpg
絕望大魔法師 我只想色色錯了嗎?,monster,https://i.imgur.com/GuhdyFM.jpg
色色之都-慾望城市,magic,https://i.imgur.com/fCd7VEeh.jpg
色色力量,magic,https://i.imgur.com/ahnt258h.jpg
無法色色柴犬,monster,https://i.imgur.com/MNCDjczh.jpg
不可以色色狂戰士,monster,https://i.imgur.com/VGi85SX.jpg
色色潮柴犬,monster,https://i.imgur.com/JzobPW6h.jpg
色色柴犬（微笑,monster,https://i.imgur.com/aNW6X8hh.jpg
色色柴犬（燦笑,monster,https://i.imgur.com/02CZ5IMh.jpg
赤色色色柴犬幼體,monster,https://i.imgur.com/EVoDNVVh.jpg
白色色色柴犬幼體,monster,https://i.imgur.com/kGDjnjW.jpg
黑色色色柴犬幼體,monster,https://i.imgur.com/ck8xfJ2.jpg
屁↗眼↘派↗對↘,magic,https://i.imgur.com/F17TDYJh.jpg
純潔天使 聖光柴犬,monster,https://i.imgur.com/EiHfFaPh.jpg
FBI Department of anti-horny,magic,https://i.imgur.com/FjEm0E0h.jpg
優雅的紳士,monster,https://i.imgur.com/XLmD00mh.jpg
混亂柴犬,trap,https://i.imgur.com/UqxwnYQ.jpg
技術性支援,magic,https://i.imgur.com/CujL80eh.jpg
柴柴小姐,monster,https://i.imgur.com/wHvAvQNh.jpg
色色太空狗,monster,https://i.imgur.com/Wu0FSXhh.jpg
色色總柴,monster,https://i.imgur.com/Ev7EBbHh.jpg
狗・勾・幣,magic,https://i.imgur.com/0JAKi5Dh.jpg
Gate of Bonks,monster,https://i.imgur.com/QXVUmQOh.jpg
色色監獄-The Horny Jail,magic,https://i.imgur.com/wCGKCaih.jpg
覺醒的柴犬騎士-Mia,monster,https://i.imgur.com/xTXX4iNh.jpg
抵死不從,magic,https://i.imgur.com/d1BkSDdh.jpg
陽光天真帥狗勾,monster,https://i.imgur.com/rjkS2K2h.jpg
強制Bonk,trap,https://i.imgur.com/xKOb0rUh.jpg
嘿嘿嘿-我好想色色,monster,https://i.imgur.com/FfGgVj4h.jpg
窩就色色,trap,https://i.imgur.com/ilPPxwXh.jpg
很想色色，對吧？,monster,https://i.imgur.com/38mmrJT.jpg
熱狗,monster,https://imgur.dcard.tw/Hvjld9Hh.jpg
龍騎士柴可夫斯基,monster,https://imgur.dcard.tw/uGyuEfsh.jpg
拖去槍斃,trap,https://imgur.dcard.tw/3i0JEeIh.jpg
抗色色藥,magic,https://imgur.dcard.tw/w2yJXaAh.jpg
大狗狗風暴,monster,https://imgur.dcard.tw/XSbzTuDh.jpg
驚嚇到模糊,magic,https://imgur.dcard.tw/VGiy0ith.jpg
反色色火箭炮,monster,https://imgur.dcard.tw/1b08yMxh.jpg
色色團結之心,monster,https://imgur.dcard.tw/iq51DOVh.jpg
噓!!!化成狗我都認得-新bonk氣流斬,monster,https://imgur.dcard.tw/YTkxCz8h.jpg
柴犬之星,magic,https://imgur.dcard.tw/Ndq71Nph.jpg
色色三兄弟,monster,https://i.imgur.com/hwghTvSh.jpg
我就色色,trap,https://i.imgur.com/rWfHcfoh.jpg
色色忍者,monster,https://i.imgur.com/IOf99Q4h.jpg
色色的壞狗勾老大,monster,https://i.imgur.com/9fjhvb3h.jpg
色色的壞狗勾小弟,monster,https://i.imgur.com/9mTYlz0h.jpg
疾風色色柴,monster,https://raw.githubusercontent.com/tpai/dogedeck/main/cards/%E7%96%BE%E9%A2%A8%E8%89%B2%E8%89%B2%E6%9F%B4.png
色色柴軍團,monster,https://raw.githubusercontent.com/tpai/dogedeck/main/cards/%E8%89%B2%E8%89%B2%E6%9F%B4%E8%BB%8D%E5%9C%98.png
小色犬,monster,https://i.imgur.com/uAzbBOU.png
三首色犬,monster,https://i.imgur.com/FOFQpkK.png
色色守護者,monster,https://i.imgur.com/u8OleoYh.jpg
色色高裝檢,trap,https://i.imgur.com/ExMai88.jpg
色色巡邏隊,monster,https://i.imgur.com/E8nJ6Nnh.jpg
這裡，可以色色!,magic,https://i.imgur.com/RnyqBxxh.jpg
已經色出來了,magic,https://i.imgur.com/D5MM7wgh.jpg
防色色監獄,magic,https://i.imgur.com/duLkUuOh.jpg
探監,magic,https://i.imgur.com/teuAfB3h.jpg
色影濕,monster,https://imgur.dcard.tw/NMR9C5bh.jpg
貞潔者・聖母柴莉亞,monster,https://imgur.dcard.tw/v0Gd4gdh.jpg
泡沫化,trap,https://imgur.dcard.tw/51lozPPh.jpg
再買更多卡,trap,https://imgur.dcard.tw/z8RqnAHh.jpg
逼你色色,magic,https://imgur.dcard.tw/T1WKm5Dh.jpg
絕對的色色時間,magic,https://imgur.dcard.tw/Rmv49Muh.jpg
多重色色,monster,https://imgur.dcard.tw/NqpKueYh.jpg
突然色色,magic,https://imgur.dcard.tw/8ijEVGbh.jpg
熱血之柴柴鍊金術師,monster,https://imgur.dcard.tw/8mCgUwBh.jpg
純愛即是真理,monster,https://imgur.dcard.tw/NDF7Y29h.jpg
牙通牙,magic,https://imgur.dcard.tw/p4yvsHYh.jpg
蛤?你說什麼我沒聽到!,trap,https://imgur.dcard.tw/QcvFC5qh.jpg
黑繩天譴柴犬明王,monster,https://imgur.dcard.tw/cJGcEVeh.jpg
嗷嗚凹嗚汪嗚,magic,https://imgur.dcard.tw/rhOzxxVh.jpg
Anti-Horny Bonk Helmet,magic,https://imgur.dcard.tw/Os5mIKEh.jpg
大膽無畏的偷襲,magic,https://imgur.dcard.tw/IzLNUkxh.jpg
窩只想好好色色嗚嗚嗚嗚,magic,https://imgur.dcard.tw/QCeEK0th.jpg
色色大逆轉啦,trap,https://imgur.dcard.tw/TUGMyF7h.jpg
禁慾使徒 傳教忠犬,monster,https://imgur.dcard.tw/890EuiFh.jpg
色色‧THE‧WORLD,magic,https://i.imgur.com/yqNEtQS.jpg
防色色安全帶,magic,https://i.imgur.com/9dpUpld.jpg
色色啟動,monster,https://i.imgur.com/qJibH5a.jpg
色色（咬)反制術,magic,https://i.imgur.com/Ln01D2r.jpg
受到威脅的柴柴,monster,https://i.imgur.com/HLjl7sA.jpg
瑟瑟的怒吼,trap,https://i.imgur.com/vfmUGx0.jpg
收到通知的柴柴,monster,https://i.imgur.com/5t6sjTp.jpg
誰准你色色了,trap,https://i.imgur.com/YeChykM.jpg
可疑的柴柴,monster,https://i.imgur.com/MZKLrRo.jpg
影分＂色＂之術,magic,https://i.imgur.com/Xr5Ioze.jpg
高麗菜,monster,https://i.imgur.com/VQ61Stn.jpg
巧克力,monster,https://i.imgur.com/Nmqscdu.jpg
色色的暗示,trap,https://i.imgur.com/gMcC454.jpg
我不想再色色了,monster,https://i.imgur.com/nehxqWm.jpg
柴面濕身像,trap,https://i.imgur.com/GSSl4gn.jpg
激烈色色犬,monster,https://i.imgur.com/m6ppKkF.png
色色雙煞,monster,https://i.imgur.com/zGr7H4X.jpg
色色四兄弟,monster,https://i.imgur.com/treFYMK.jpg
賣身契,magic,https://i.imgur.com/fsKj3jM.jpg
銀河色色二人組,monster,https://i.imgur.com/dy2IvBth.jpg
月工仙子,monster,https://i.imgur.com/lF2u4zah.jpg
諸色犬吉,trap,https://i.imgur.com/7gAXsI0h.jpg
色色水管工 阿賢&阿財,monster,https://i.imgur.com/CzJ5xNQh.jpg
刑法第227條,magic,https://i.imgur.com/V4sBxqWh.jpg
絕對可以色色,magic,https://i.imgur.com/D4CSv3Ih.jpg
超級憤怒‧沉默的暗殺者,monster,https://i.imgur.com/Dx2BLrkh.jpg
阿牠這樣也可以色色喔,magic,https://i.imgur.com/6AocyjJh.jpg
汽車後座擠4個人,trap,https://i.imgur.com/7DUGkQ5h.jpg
新年柴神到!!,monster,https://i.imgur.com/VCW896hh.jpg
雙頭柴-雙倍色色宇宙,monster,https://i.imgur.com/qXN0JLPh.jpg
飢渴難耐的Aili,monster,https://i.imgur.com/8vVsIYxh.jpg
戒色第100天,trap,https://imgur.dcard.tw/trx1tL8h.png
